cluster_name,ra,dec,l,b,r_sun,r_sun_err,r_gc,rv,rv_err,pm_ra,pm_ra_err,pm_dec,pm_dec_err,ra_dec_cor,x_gc,x_gc_err,y_gc,y_gc_err,z_gc,z_gc_err,u,u_err,v,v_err,w,w_err,r_per,r_per_err,r_apo,r_apo_err,eccentricity,l_z,l_perp,energy,l_z_base,l_perp_base,energy_base,chen_class,mass_class
NGC_6273,255.657486,-26.267971,356.869,9.382,8.34,0.16,1.43,145.54,0.59,-3.256,0.01,1.668,0.009,0.0,-0.04,0.16,-0.45,0.01,1.36,0.03,-129.95,0.59,221.75,0.38,171.75,0.38,1.22,0.04,3.29,0.1,0.6410893484167346,-0.06887710753541494,0.42463334428241767,-0.18251820086968526,-67.3475,415.2031811056486,-174501.56869658065,in-situ,L-E
NGC_6284,256.120114,-24.764799,358.347,9.939,14.21,0.42,6.32,28.62,0.73,-3.205,0.014,-2.004,0.014,0.1,-5.81,0.41,-0.4,0.01,2.45,0.07,-16.17,0.74,15.56,0.94,105.21,0.94,1.02,0.06,6.48,0.39,0.7262611918869399,-0.09907176376744053,0.59036350136848,-0.16712262022363325,-96.87159999999999,577.2528396023357,-159782.1984588204,in-situ,GS/E
Gran_3,256.256,-35.496,349.756,3.423,11.47,0.75,3.76,94.87,1.58,-3.851,0.065,0.498,0.049,-0.18,-3.09,0.74,-2.04,0.13,0.68,0.04,-74.88,1.67,134.19,2.94,195.87,3.23,3.55,0.64,4.09,0.79,0.0478401247138476,-0.580289234684907,0.7572068257016416,-0.17180577856678117,-567.4023000000001,740.3909443746661,-164259.661382736,-,-
NGC_6287,256.288904,-22.708005,0.132,11.023,7.93,0.37,1.57,-294.74,1.65,-4.991,0.01,-1.886,0.009,-0.02,0.4,0.36,0.02,0.0,1.52,0.07,298.98,1.62,84.28,0.35,59.53,0.47,0.91,0.06,4.16,0.17,0.7358413963447017,0.028362262845913234,0.459146691715247,-0.1763322227788391,27.732400000000002,448.95006376963573,-168587.2934318028,in-situ,L-E
Patchick_126,256.410833,-47.342222,340.381,-3.826,8.0,0.5,2.81,-122.14,0.77,-4.859,0.038,-6.832,0.033,-0.04,0.66,0.47,-2.68,0.17,-0.53,0.03,210.96,0.85,-6.02,1.28,6.65,1.36,2.23,0.3,3.23,0.07,0.16564697987040566,0.5741502003717872,0.12076432815057438,-0.19570423975714787,561.3996000000001,118.08242072213798,-187108.44548909957,-,-
NGC_6293,257.5425,-26.582083,357.62,7.834,9.19,0.28,1.6,-143.66,0.39,0.865,0.02,-4.33,0.02,-0.04,-0.92,0.28,-0.38,0.01,1.25,0.04,117.36,0.42,126.19,1.07,-151.88,1.07,0.44,0.13,2.79,0.39,0.5689417202203416,-0.07312187437643712,0.1025429328345123,-0.20334157042893586,-71.49800000000002,100.26568211392171,-194410.32648798721,in-situ,in-situ
Gran_2,257.89,-24.849,359.229,8.586,15.84,1.55,7.85,53.22,1.67,0.227,0.027,-2.568,0.022,-0.02,-7.48,1.53,-0.21,0.02,2.36,0.23,-80.46,1.69,103.84,1.79,-108.8,1.92,3.8,0.59,8.39,1.49,0.34426696510952487,-0.8116446238811316,1.0513621333936547,-0.14750765966584573,-793.6198,1028.0137162020358,-141028.7734801284,-,-
NGC_6304,258.634399,-29.462028,355.826,5.376,6.15,0.15,2.19,-108.62,0.39,-4.073,0.012,-1.089,0.011,0.05,2.07,0.15,-0.45,0.01,0.58,0.01,110.98,0.39,166.2,0.32,75.17,0.33,1.56,0.13,2.7,0.14,0.25104412785437613,0.4029230252238777,0.1626126847777259,-0.20467453151035264,393.97499999999997,159.00141832229045,-195684.74075796347,in-situ,in-situ
NGC_6316,259.155417,-28.140111,357.175,5.764,11.15,0.39,3.16,99.65,0.84,-4.974,0.028,-4.605,0.027,0.08,-2.9,0.38,-0.55,0.02,1.12,0.04,-85.27,0.85,-102.1,1.44,92.58,1.46,0.87,0.21,3.85,0.5,0.5741305866410533,0.2548511784759843,0.1884281248802306,-0.19572447114676522,249.19150000000002,184.24355485378587,-187127.78826811185,in-situ,in-situ
NGC_6341,259.280762,43.135944,68.338,34.859,8.5,0.07,9.85,-120.55,0.27,-4.934,0.012,-0.63,0.012,0.13,5.6,0.02,6.48,0.05,4.86,0.04,22.97,0.46,39.48,0.37,98.27,0.42,1.25,0.02,10.62,0.05,0.8327731175050903,0.07388318131209709,0.6390021259838082,-0.14360101533674105,72.24239999999998,624.8113084244553,-137293.7182334733,GS/E,GS/E
NGC_6325,259.496327,-23.767677,0.971,8.003,7.53,0.32,1.28,29.54,0.58,-8.288,0.029,-8.987,0.028,0.17,0.72,0.32,0.13,0.01,1.05,0.04,-38.92,0.59,-179.39,1.02,73.6,1.02,1.05,0.03,1.31,0.13,0.3397128975094285,-0.12691980693676877,0.22402910774120485,-0.21826636814157255,-124.10119999999996,219.05391897943755,-208679.59169509792,in-situ,in-situ
NGC_6333,259.799086,-18.516257,5.544,10.705,8.3,0.14,1.73,310.75,2.12,-2.179,0.009,-3.213,0.008,0.07,0.06,0.14,0.79,0.01,1.54,0.03,-329.48,2.06,129.7,0.38,66.52,0.51,1.22,0.02,6.14,0.12,0.7316032555947869,0.2741596773383975,0.5442368461086217,-0.15812314099060484,268.07120000000003,532.1505548770949,-151177.99769345668,in-situ,L-E
NGC_6342,260.291573,-19.587659,4.898,9.725,8.01,0.23,1.54,115.75,0.9,-2.915,0.013,-7.106,0.013,-0.07,0.31,0.23,0.67,0.02,1.35,0.04,-158.75,0.89,-22.34,0.49,-29.08,0.52,0.84,0.09,1.66,0.04,0.371872881740623,0.10169553182686529,0.21024412587664898,-0.21697352394513525,99.43710000000002,205.5750709362641,-207443.53228138687,in-situ,in-situ
NGC_6356,260.895804,-17.813027,6.724,10.22,15.66,0.92,7.86,48.18,1.82,-3.769,0.011,-3.41,0.01,0.03,-7.12,0.9,1.8,0.11,2.78,0.16,-83.82,1.79,-106.31,0.76,111.08,0.82,3.62,1.13,8.99,1.26,0.42918629225002003,0.9284213761074102,0.7630866023809952,-0.14616710753122347,907.8032000000001,746.1401442769583,-139747.10157400352,in-situ,in-situ
NGC_6355,260.993533,-26.352827,359.585,5.429,8.65,0.22,0.93,-195.85,0.55,-4.732,0.015,-0.558,0.014,0.27,-0.44,0.22,-0.06,0.0,0.82,0.02,198.82,0.55,126.39,0.6,136.36,0.62,0.79,0.08,1.5,0.26,0.7535550876371878,-0.04467452187839207,0.2551595388962277,-0.2102122138786668,-43.6824,249.49301242038823,-200979.19498559507,in-situ,in-situ
NGC_6352,261.371277,-48.422169,341.421,-7.166,5.54,0.07,3.51,-125.63,1.01,-2.169,0.008,-4.43,0.008,0.17,2.96,0.07,-1.75,0.02,-0.69,0.01,149.96,0.96,170.76,0.37,6.51,0.24,3.09,0.02,3.94,0.07,0.12337514877085753,0.7853198082104222,0.16615012145020844,-0.180577001857051,767.8796,162.46029638533224,-172645.63174759227,in-situ,in-situ
IC_1257,261.785431,-7.093056,16.528,15.145,26.59,1.43,19.27,-137.97,2.04,-1.029,0.025,-1.49,0.019,0.24,-16.43,1.32,7.3,0.39,6.95,0.37,55.77,2.11,-5.13,2.57,-13.47,2.87,1.03,0.24,20.07,1.37,0.9085388436378198,-0.33016738407374346,0.1817455730216743,-0.11595625868186492,-322.8351,177.709407625511,-110863.18484269432,GS/E,GS/E
Ter_2,261.887917,-30.802333,356.319,2.298,7.75,0.33,0.74,133.46,0.69,-2.142,0.03,-6.255,0.027,0.21,0.45,0.32,-0.5,0.02,0.31,0.01,-131.58,0.7,9.08,1.03,-49.5,1.08,0.16,0.03,0.86,0.22,0.48509719128300177,-0.06310543143197958,0.029356485839092717,-0.2517935834703392,-61.704000000000015,28.704543509347094,-240734.2122262033,in-situ,in-situ
NGC_6366,261.934357,-5.079861,18.409,16.036,3.44,0.05,5.23,-120.65,0.19,-0.342,0.008,-5.155,0.008,0.2,5.04,0.05,1.05,0.02,0.95,0.01,65.24,0.18,147.16,0.14,-62.03,0.14,2.24,0.04,5.7,0.04,0.43844409434867626,0.6884738751989872,0.4366990431131311,-0.17057971803717437,673.1844,427.0009275714632,-163087.45233884943,in-situ,in-situ
Ter_4,262.662506,-31.595528,356.024,1.308,7.59,0.31,0.82,-48.96,1.57,-5.364,0.035,-3.674,0.031,0.21,0.61,0.31,-0.53,0.02,0.17,0.01,54.76,1.56,39.76,1.17,94.74,1.22,0.19,0.04,0.85,0.19,0.5338238881436003,0.05448642238984047,0.07650723805425139,-0.2546966035682716,53.27640000000001,74.80818227172747,-243509.72479773362,in-situ,in-situ
HP_1,262.771667,-29.981667,357.425,2.115,7.0,0.14,1.26,39.76,1.22,2.5,0.028,-10.049,0.027,0.17,1.19,0.14,-0.31,0.01,0.26,0.01,-49.6,1.22,16.99,0.89,-243.09,0.91,0.72,0.13,1.67,0.11,0.3899382265808994,0.004952074574367759,0.29182096045663997,-0.2180015643494481,4.842099999999999,285.3402652579197,-208426.41871343178,in-situ,in-situ
FSR_1758,262.8,-39.808,349.217,-3.292,11.09,0.74,3.46,227.31,0.59,-2.875,0.008,2.509,0.007,0.08,-2.69,0.72,-2.07,0.14,-0.64,0.04,-250.44,0.58,235.01,0.39,192.45,0.39,3.63,0.62,13.22,3.42,0.6051734354909273,-1.1767200377419464,0.7382911300159538,-0.12761544256752438,-1150.5876999999998,721.8953242655198,-122010.26972559924,-,-
NGC_6362,262.979096,-67.048332,325.555,-17.57,7.65,0.07,5.2,-14.58,0.18,-5.502,0.006,-4.761,0.006,0.07,2.16,0.05,-4.12,0.04,-2.31,0.02,117.09,0.19,40.56,0.2,99.81,0.2,2.64,0.03,5.24,0.02,0.28825979711180155,0.5829667974042132,0.5937747851257091,-0.169368791058485,570.0204000000001,580.5883663261003,-161929.71214443905,in-situ,in-situ
Liller_1,263.352333,-33.389556,354.84,-0.161,8.06,0.34,0.74,60.36,2.44,-5.183,0.176,-6.979,0.143,0.35,0.15,0.34,-0.72,0.03,-0.02,0.0,-41.46,2.48,-83.37,5.81,28.07,6.39,0.09,0.04,0.85,0.09,0.8546403040568888,-0.04331871236119099,0.02264034636749702,-0.26050942489867784,-42.3567,22.137554574297496,-249067.23323182703,in-situ,-
NGC_6380,263.618611,-39.06953,350.182,-3.422,9.61,0.3,2.15,-1.48,0.73,-2.186,0.017,-3.256,0.016,-0.02,-1.27,0.3,-1.64,0.05,-0.57,0.02,20.58,0.74,76.51,0.73,11.08,0.75,0.28,0.05,2.11,0.24,0.6526590559988196,-0.06485682601462034,0.02612721231291355,-0.22604498486189878,-63.41650000000002,25.54698497376941,-216116.55312425163,in-situ,in-situ
Ter_1,263.946667,-30.481778,357.558,0.991,5.67,0.17,2.52,57.55,1.61,-2.886,0.046,-4.87,0.044,0.08,2.51,0.17,-0.24,0.01,0.1,0.0,-62.2,1.61,97.77,1.21,2.95,1.22,0.57,0.09,2.68,0.17,0.5383471967507903,0.23570927942525702,0.017582389054734877,-0.2201808536111674,230.47469999999998,17.191923256285204,-210509.9884232009,in-situ,in-situ
Ton_2,264.042,-38.5561,350.793,-3.424,6.99,0.34,1.76,-184.72,1.12,-5.936,0.02,-0.795,0.019,0.24,1.29,0.33,-1.12,0.05,-0.42,0.02,182.4,1.11,154.24,0.65,169.82,0.65,1.8,0.14,3.0,0.29,0.3187649933475624,0.41241645316713094,0.3284701726336392,-0.19325762407256128,403.2576000000001,321.1755798553184,-184769.2909668454,in-situ,L-E
NGC_6388,264.071777,-44.7355,345.556,-6.738,11.17,0.16,3.99,83.11,0.45,-1.317,0.007,-2.715,0.007,0.01,-2.57,0.16,-2.77,0.04,-1.31,0.02,-49.47,0.44,78.28,0.38,-19.32,0.38,1.15,0.02,4.05,0.12,0.4893577563106802,-0.34589301540835204,0.16035834833703586,-0.1933365723536635,-338.21149999999994,156.79714568553217,-184844.77165223783,in-situ,in-situ
NGC_6402,264.400651,-3.245916,21.324,14.804,9.14,0.25,3.97,-60.71,0.45,-3.599,0.006,-5.055,0.006,0.12,-0.06,0.23,3.21,0.09,2.34,0.06,-46.65,0.42,-20.92,0.3,20.2,0.29,0.56,0.08,4.28,0.13,0.614453394084308,0.15443127553258054,0.1604134483174921,-0.19238910677262397,151.00170000000003,156.85102201783704,-183938.92100616742,in-situ,L-E
NGC_6401,264.652191,-23.909605,3.45,3.98,7.44,0.22,1.03,-105.44,2.5,-2.762,0.01,1.464,0.008,0.29,0.77,0.22,0.45,0.01,0.52,0.02,101.04,2.48,237.5,0.34,109.65,0.38,0.47,0.14,2.12,0.34,0.6656274342800151,0.14052781046243382,0.0825569328213713,-0.21019598964242758,137.407,80.72352675856031,-200963.6833562827,in-situ,L-E
NGC_6397,265.175385,-53.674335,338.165,-11.96,2.48,0.02,6.01,18.51,0.08,3.251,0.005,-17.649,0.005,-0.25,5.92,0.02,-0.9,0.01,-0.51,0.0,58.24,0.08,106.68,0.06,-130.34,0.06,2.6,0.01,6.3,0.01,0.39191537792478803,0.6994958487441176,0.7788181966563824,-0.16328157478392413,683.9616,761.5223747940698,-156109.86084278917,in-situ,in-situ
Pal_6,265.925812,-26.224995,2.09,1.779,7.05,0.45,1.19,177.0,1.35,-9.19,0.021,-5.283,0.018,0.27,1.14,0.45,0.26,0.02,0.22,0.01,-194.0,1.34,-52.44,0.62,181.72,0.66,0.29,0.09,2.08,0.7,0.6591143879488965,-0.009553767960990854,0.2624925486016213,-0.21393981278193722,-9.341599999999989,256.6631722718318,-204543.06890607474,in-situ,L-E
NGC_6426,266.22796,3.170142,28.087,16.234,20.71,0.35,14.45,-210.51,0.51,-1.821,0.016,-2.998,0.015,0.27,-9.36,0.3,9.36,0.16,5.79,0.1,11.24,0.91,-149.16,1.37,-29.02,1.48,3.67,0.36,17.0,0.52,0.6439702662564886,1.320251042477037,0.6412468920413872,-0.11920298145920381,1290.9312,627.0062232150491,-113967.30385695674,GS/E,H-E
Djor_1,266.869583,-33.066389,356.675,-2.484,9.88,0.65,1.82,-359.18,1.64,-4.725,0.028,-8.47,0.021,-0.02,-1.68,0.65,-0.57,0.04,-0.43,0.03,374.13,1.63,-180.09,1.08,7.5,1.22,1.19,0.31,9.29,3.67,0.7968649522931627,0.5275203551050442,0.17314632118751233,-0.14663351552334303,515.8053,169.30112606979316,-140193.02382115298,in-situ,GS/E
Ter_5,267.0202,-24.779055,3.839,1.687,6.62,0.15,1.65,-81.97,0.85,-1.864,0.03,-5.108,0.027,0.33,1.58,0.15,0.44,0.01,0.19,0.0,58.48,0.85,79.79,0.88,-27.76,0.92,0.27,0.04,1.69,0.15,0.6562989721540887,0.10261587050418991,0.0628055528870842,-0.23750970799780757,100.337,61.410781091352355,-227077.71843464425,in-situ,in-situ
NGC_6440,267.220167,-20.360417,7.729,3.801,8.25,0.24,1.23,-69.39,0.93,-1.189,0.024,-4.004,0.024,0.34,0.02,0.24,1.11,0.03,0.55,0.02,33.58,0.93,86.46,0.94,-37.51,0.94,0.21,0.07,1.26,0.06,0.6463876624612417,-0.03635189482168321,0.0933085342654841,-0.24119226888609127,-35.5446,91.23635902122574,-230598.5325165505,in-situ,in-situ
Gran_5,267.228,-24.17,4.459,1.839,4.91,0.31,3.31,-58.87,3.27,-5.353,0.046,-9.312,0.043,0.06,3.29,0.31,0.38,0.02,0.16,0.01,27.97,3.25,-1.55,1.05,0.7,1.06,0.32,0.08,2.85,0.32,0.9008808750002938,-0.016085319203055195,0.00228288251720894,-0.21330922269517796,-15.7281,2.232184768337962,-203940.17583119412,-,-
NGC_6441,267.554413,-37.051445,353.532,-5.006,12.73,0.16,4.78,18.47,0.56,-2.566,0.02,-5.373,0.02,0.17,-4.42,0.16,-1.43,0.02,-1.11,0.01,13.63,0.58,-105.17,1.2,-25.31,1.2,1.61,0.13,4.7,0.14,0.48877310607639846,0.4953427622562115,0.15380324236711035,-0.18409171635396882,484.34229999999997,150.3876140558457,-176005.97164964225,in-situ,L-E
Ter_6,267.69325,-31.275389,358.571,-2.162,7.27,0.35,0.97,137.15,1.7,-4.993,0.052,-7.458,0.045,0.26,0.91,0.35,-0.18,0.01,-0.27,0.01,-141.03,1.7,-60.0,1.63,18.66,1.73,0.2,0.02,1.11,0.39,0.6249712388048221,-0.08180204160604594,0.029422331670800744,-0.24435615665739494,-79.98540000000001,28.768927051421304,-233623.4548346628,in-situ,in-situ
NGC_6453,267.715508,-34.598477,355.718,-3.872,10.07,0.22,2.1,-99.23,1.24,0.165,0.021,-5.92,0.021,0.18,-1.84,0.22,-0.75,0.02,-0.68,0.01,115.63,1.24,21.74,1.0,-136.21,1.02,0.45,0.11,2.52,0.23,0.6180301302132478,0.04778203279188341,0.3573407390731377,-0.2120723775374036,46.72089999999999,349.40499515537846,-202757.65584558187,in-situ,L-E
UKS_1,268.613312,-24.145277,5.125,0.764,15.58,0.56,7.47,59.38,2.63,-0.96,0.207,-2.941,0.135,0.13,-7.34,0.56,1.39,0.05,0.21,0.01,-90.83,2.82,35.25,11.53,-40.64,14.11,0.47,0.15,7.8,0.6,0.9093703271907222,-0.13549023715106823,0.3310921030188456,-0.1622999637964763,-132.4813,323.73928299176174,-155171.36453752618,in-situ,-
VVV-CL001,268.677083,-24.014722,5.267,0.78,8.08,1.48,0.76,-327.28,0.9,-3.394,0.11,-1.71,0.077,0.3,0.13,1.48,0.74,0.14,0.11,0.02,304.62,0.94,100.38,3.3,81.91,3.91,0.72,0.36,4.11,1.99,0.6788105148880925,-0.2171927688634552,0.055828456248579926,-0.20697140455101243,-212.36939999999998,54.588630268307696,-197880.72968828495,-,-
Gran_1,269.651,-32.02,358.767,-3.977,8.27,0.67,0.6,78.94,1.44,-8.044,0.038,-8.049,0.031,0.42,-0.07,0.67,-0.18,0.01,-0.57,0.05,-88.72,1.43,-179.91,1.29,119.01,1.41,1.45,0.29,3.6,0.83,0.7873250265090403,-0.003452573997977758,0.14036896574717161,-0.23367142856229264,-3.3758999999999966,137.2516828729615,-223408.0253333442,-,-
NGC_6496,269.76535,-44.265945,348.027,-10.014,9.64,0.15,2.81,-134.72,0.26,-3.066,0.006,-9.257,0.005,0.16,-1.11,0.15,-1.97,0.03,-1.68,0.03,222.91,0.26,-146.82,0.24,-45.56,0.25,2.62,0.12,4.56,0.29,0.3278656086733667,0.6157779604392917,0.4633860566195214,-0.17181183104903397,602.1029000000001,453.0952817979018,-164265.44802561647,in-situ,in-situ
Ter_9,270.411667,-26.839722,3.603,-1.989,5.77,0.34,2.46,68.56,0.54,-2.168,0.031,-7.698,0.029,0.34,2.42,0.34,0.36,0.02,-0.2,0.01,-91.02,0.54,44.46,0.81,-47.51,0.83,0.37,0.08,2.55,0.41,0.6988628929053626,0.14354828857067975,0.1364616278772726,-0.2212795621700201,140.36039999999997,133.43111829629547,-211560.43909686847,in-situ,in-situ
Djor_2,270.454378,-27.825819,2.763,-2.508,8.76,0.18,0.8,-149.75,1.1,0.72,0.021,-3.003,0.018,0.01,-0.57,0.18,0.42,0.01,-0.38,0.01,137.64,1.1,151.13,0.79,-73.65,0.86,0.74,0.07,0.92,0.1,0.25651228805822474,-0.1472223820236064,0.10016041797392192,-0.2345651150398684,-143.95289999999997,97.93607761519755,-224262.4589816971,in-situ,in-situ
NGC_6517,270.46075,-8.958778,19.225,6.762,9.23,0.56,3.24,-35.06,1.65,-1.554,0.018,-4.452,0.017,0.34,-0.47,0.52,3.02,0.18,1.09,0.07,-49.03,1.57,50.13,0.89,-31.3,0.78,0.42,0.04,3.4,0.27,0.6479526265197231,0.127337380313757,0.16772457539307994,-0.20541819903044212,124.50950000000003,163.99978520406665,-196395.74463717092,in-situ,L-E
Ter_10,270.740833,-26.066944,4.421,-1.864,10.21,0.4,2.17,211.37,2.27,-6.806,0.03,-2.595,0.023,0.03,-2.0,0.4,0.79,0.03,-0.33,0.01,-249.96,2.25,-1.58,1.2,225.31,1.36,1.07,0.28,5.6,1.1,0.663520689013224,0.20518510533365372,0.5746329282694477,-0.1724002056661098,200.6284,561.8716075835208,-164827.97983434435,in-situ,GS/E
NGC_6522,270.891958,-30.033974,1.025,-3.926,7.29,0.21,1.04,-15.23,0.49,2.586,0.014,-6.432,0.014,0.29,0.9,0.21,0.13,0.0,-0.5,0.01,14.18,0.49,101.3,0.48,-177.94,0.49,0.44,0.13,1.3,0.15,0.20834013879323682,0.09135540048217078,0.15904199625249726,-0.2294894635127556,89.3266,155.51002685627702,-219409.74210514428,in-situ,in-situ
NGC_6535,270.960449,-0.297639,27.176,10.436,6.36,0.12,4.04,-214.85,0.46,-4.213,0.014,-2.935,0.013,0.19,2.61,0.11,2.86,0.06,1.15,0.02,125.6,0.45,27.55,0.41,38.55,0.41,0.96,0.05,4.52,0.05,0.593563086211828,-0.29383594349536113,0.09200948812371994,-0.188893703223588,-287.3105,89.9661618082043,-180597.0438693778,in-situ,L-E/Seq
NGC_6528,271.206697,-30.055778,1.139,-4.174,7.83,0.24,0.7,211.86,0.43,-2.173,0.021,-5.643,0.019,0.13,0.37,0.24,0.16,0.0,-0.57,0.02,-224.49,0.43,34.2,0.73,-39.4,0.76,0.43,0.07,0.92,0.28,0.5756556906889311,0.04967558436546553,0.14639744377122113,-0.23126294708456763,48.57240000000001,143.1462817934507,-221105.33007316163,in-situ,in-situ
NGC_6539,271.207276,-7.585858,20.795,6.776,8.16,0.39,3.09,35.19,0.5,-6.883,0.009,-3.549,0.008,0.41,0.6,0.36,2.88,0.14,0.96,0.05,-113.35,0.48,25.57,0.35,178.27,0.34,2.14,0.15,3.42,0.17,0.20638419200233396,0.3495527908909681,0.5465096817931535,-0.18773630793696672,341.78999999999996,534.3729159305886,-179490.4841281844,in-situ,in-situ
NGC_6540,271.535657,-27.765286,3.285,-3.313,5.91,0.27,2.34,-16.5,0.78,-3.695,0.019,-2.818,0.018,0.23,2.29,0.27,0.34,0.02,-0.34,0.02,-4.5,0.78,132.39,0.5,60.24,0.52,1.06,0.17,2.32,0.28,0.2664738763784001,0.3116235670971349,0.15476374945641233,-0.21753407639265115,304.7031,151.32679041663442,-207979.4639362144,in-situ,in-situ
VVV-CL160,271.7375,-20.011111,10.151,0.302,6.8,0.5,1.91,245.28,0.78,-2.025,0.133,-16.766,0.104,0.31,1.48,0.49,1.2,0.09,0.04,0.0,-342.4,0.99,-200.24,3.54,-197.76,4.08,0.85,0.06,11.52,1.17,0.8949537471287555,0.11712590615942514,0.36933128557612216,-0.1362286616673522,114.52479999999993,361.1292582596985,-130245.17581872053,-,-
NGC_6544,271.833833,-24.998222,5.837,-2.202,2.58,0.06,5.62,-38.46,0.67,-2.269,0.026,-18.615,0.026,0.02,5.61,0.06,0.26,0.01,-0.1,0.0,8.81,0.67,36.42,0.33,-77.57,0.32,0.56,0.06,5.53,0.12,0.8067810808853121,0.20661403877065562,0.4444717577412225,-0.18069449336026513,202.02560000000005,434.6010274761554,-172757.962745387,in-situ,L-E
NGC_6541,272.009827,-43.714889,349.286,-11.188,7.61,0.1,2.19,-163.97,0.46,0.283,0.006,-8.832,0.005,0.09,0.84,0.1,-1.39,0.02,-1.48,0.02,228.17,0.45,13.34,0.21,-111.74,0.22,1.55,0.04,3.58,0.02,0.4293803277962379,0.33581970966751795,0.30698354777949355,-0.18594816820557594,328.36189999999993,300.1661252027617,-177780.88373387,in-situ,L-E
2MASS-GC01,272.090851,-19.829723,10.471,0.1,3.37,0.62,4.9,-35.58,0.35,-1.366,0.286,-1.754,0.227,0.28,4.86,0.61,0.61,0.11,0.01,0.0,17.52,0.78,211.23,3.79,12.67,4.34,3.61,0.59,5.15,0.55,0.1665475164867896,1.0389636749755702,0.06305770483261464,-0.16894599787060396,1015.8906000000001,61.6573333023737,-161525.48903590563,-,-
ESO_280-SC06,272.275,-46.423333,346.899,-12.571,20.95,0.65,13.41,93.2,0.34,-0.695,0.02,-2.776,0.016,0.23,-11.73,0.61,-4.63,0.14,-4.56,0.14,-23.96,0.6,-35.85,1.67,-71.97,1.91,1.55,0.33,13.82,0.71,0.8199274545699424,0.3166170615141871,0.7714298515915932,-0.1315207419938387,309.5857000000001,754.2981084586253,-125744.0391407836,-,-
NGC_6553,272.322992,-25.908067,5.253,-3.029,5.33,0.13,2.93,-0.27,0.34,0.354,0.013,-0.427,0.013,0.22,2.88,0.13,0.49,0.01,-0.28,0.01,-10.62,0.34,247.02,0.33,-5.76,0.33,2.82,0.13,3.62,0.11,0.1431114235256477,0.732897423512077,0.07073818213831222,-0.18708918629394117,716.6214,69.16724427068061,-178871.7856021887,in-situ,in-situ
2MASS-GC02,272.4021,-20.778889,9.782,-0.615,5.5,0.44,2.91,-87.5,2.83,-2.924,0.22,-3.776,0.174,0.47,2.76,0.43,0.93,0.07,-0.06,0.0,54.01,2.88,116.1,4.81,27.3,5.47,0.68,0.23,3.18,0.38,0.5659865354696078,0.27634367916685254,0.08691858597427825,-0.2116233571558559,270.20669999999996,84.9883172851422,-202328.3575039181,in-situ,-
NGC_6558,272.573974,-31.764508,0.199,-6.023,7.79,0.18,0.93,-195.12,0.73,-1.752,0.017,-4.167,0.016,0.06,0.44,0.18,0.03,0.0,-0.82,0.02,184.04,0.73,85.48,0.6,11.86,0.62,0.55,0.04,1.1,0.16,0.8095953582787655,0.03281883337631636,0.17517978602605536,-0.22738851507902602,32.09,171.28943217198193,-217401.07230843618,in-situ,in-situ
IC_1276,272.684441,-7.207595,21.832,5.668,4.55,0.25,4.34,155.06,0.69,-2.555,0.015,-4.586,0.015,0.04,3.97,0.23,1.69,0.09,0.45,0.02,-196.33,0.65,204.37,0.4,24.13,0.34,3.69,0.09,6.93,0.41,0.32432994511619584,1.1691099342506253,0.19546735166752982,-0.1557631503733135,1143.1466000000003,191.12645605305408,-148921.66346013502,in-situ,in-situ
Ter_12,273.065833,-22.741944,8.358,-2.101,5.17,0.38,3.17,94.01,0.72,-6.234,0.016,-3.063,0.013,0.39,3.07,0.38,0.75,0.06,-0.19,0.01,-127.81,0.71,128.87,0.36,101.76,0.39,1.79,0.22,3.73,0.43,0.3497025828992013,0.5026511656588446,0.31217765674162024,-0.19328409761128057,491.4884,305.24488454449164,-184794.60172496954,in-situ,in-situ
NGC_6569,273.411667,-31.826889,0.481,-6.681,10.53,0.26,2.59,-49.83,0.5,-4.142,0.01,-7.333,0.009,0.16,-2.28,0.26,0.09,0.0,-1.23,0.03,33.52,0.5,-168.57,0.47,24.53,0.48,1.68,0.3,2.7,0.25,0.16025047150253774,0.38998346636928655,0.2103303148102606,-0.20055435134436167,381.3228,205.65934580514448,-191745.5286747187,in-situ,in-situ
BH_261,273.5275,-28.635,3.362,-5.27,6.12,0.26,2.2,-60.0,2.24,3.589,0.022,-3.57,0.02,0.25,2.1,0.26,0.36,0.02,-0.56,0.02,58.95,2.22,205.82,0.6,-127.18,0.65,1.45,0.22,3.33,0.28,0.317079202442009,0.42033469983378063,0.24970431108349705,-0.19619412937051484,411.0,244.15893309760347,-187576.81798901115,in-situ,in-situ
NGC_6584,274.656647,-52.215778,342.143,-16.414,13.61,0.17,6.99,260.64,1.58,-0.08,0.008,-7.195,0.008,-0.08,-4.25,0.16,-4.0,0.05,-3.85,0.05,-69.58,1.45,-216.63,0.67,-238.12,0.67,2.25,0.22,19.79,1.06,0.8118090701874383,0.65694682955834,0.7706096874943817,-0.10966211645183076,642.3575000000001,753.4961583838701,-104845.49626420264,GS/E,H-E
NGC_6624,275.918793,-30.361029,2.788,-7.913,8.02,0.11,1.2,54.79,0.4,0.127,0.014,-6.956,0.014,-0.01,0.24,0.11,0.39,0.01,-1.1,0.01,-59.64,0.4,20.64,0.52,-122.99,0.53,0.32,0.02,1.36,0.02,0.30124466549894763,0.028853982854867205,0.10065427179627026,-0.22976632212240822,28.213200000000004,98.41896404133709,-219674.44042816813,in-situ,in-situ
