cluster_name,ra,dec,l,b,r_sun,r_sun_err,r_gc,rv,rv_err,pm_ra,pm_ra_err,pm_dec,pm_dec_err,ra_dec_cor,x_gc,x_gc_err,y_gc,y_gc_err,z_gc,z_gc_err,u,u_err,v,v_err,w,w_err,r_per,r_per_err,r_apo,r_apo_err,eccentricity,l_z,l_perp,energy,l_z_base,l_perp_base,energy_base,chen_class,mass_class
NGC_3201,154.403427,-46.412476,277.229,8.64,4.74,0.04,8.93,495.38,0.06,8.35,0.005,-1.976,0.005,0.18,7.59,0.01,-4.65,0.04,0.71,0.01,-249.99,0.11,-199.09,0.21,148.84,0.11,8.34,0.02,25.52,0.37,0.5611146380881522,-2.7342686316365565,1.4506910343224528,-0.09277671418893371,-2673.5465999999997,1418.474409422553,-88701.74090770482,other,Seq/GS/E
Pal_4,172.318329,28.973373,202.311,71.801,101.39,2.57,104.05,72.4,0.24,-0.46,0.3,-0.291,0.256,-0.21,37.47,0.74,-12.02,0.3,96.32,2.44,147.95,134.01,32.27,125.91,7.63,44.83,69.82,32.47,500.0,0.0,nan,3.0553688541974378,14.651976004340295,-0.0386669716291516,2987.5159,14326.588169297509,-36968.62654728166,Sag,H-E
Crater,174.06875,-10.876972,274.809,47.848,147.23,4.27,147.0,148.1,0.65,-0.013,0.112,-0.132,0.095,-0.27,-0.11,0.24,-98.46,2.86,109.15,3.17,-56.16,75.54,91.39,52.12,58.51,46.24,82.65,46.65,244.73,157.27,nan,-5.665382048629603,17.26905212731415,-0.03316291094754459,-5539.5665,16885.54484588786,-31706.317262152606,-,-
NGC_4147,182.52626,18.542639,252.848,77.189,18.54,0.21,20.74,179.35,0.31,-1.69,0.014,-2.092,0.013,-0.32,9.39,0.01,-3.93,0.05,18.07,0.21,40.11,1.18,-12.89,1.16,130.14,0.4,1.83,0.09,25.27,0.27,0.9094891646587131,0.037426356222280216,0.5828673245201516,-0.1036521282768354,36.5952,569.9231361876965,-99099.48102086052,GS/E,GS/E
NGC_4372,186.439101,-72.659084,300.993,-9.884,5.71,0.21,7.22,75.59,0.3,-6.409,0.004,3.309,0.005,0.18,5.28,0.11,-4.82,0.18,-0.98,0.04,100.02,0.18,84.28,0.26,64.83,0.13,2.88,0.1,7.26,0.03,0.40465013944361766,0.9481511301106058,0.5080019677649222,-0.1577975605601678,927.0948000000002,496.7203726790759,-150866.71752754744,in-situ,in-situ
Rup_106,189.6675,-51.150278,300.888,11.671,20.71,0.36,18.04,-38.36,0.26,-1.253,0.008,0.401,0.008,0.45,-2.23,0.18,-17.41,0.3,4.19,0.07,118.81,0.71,226.1,0.49,31.88,0.73,4.63,0.13,34.7,0.76,0.7668649218994389,1.5998072650967314,1.642983031360977,-0.08645505396162148,1564.2791000000002,1606.4960284182873,-82657.74298762676,other,Helmi
NGC_4590,189.866577,-26.744057,299.626,36.051,10.4,0.1,10.35,-93.11,0.18,-2.732,0.005,1.764,0.005,-0.15,4.02,0.04,-7.31,0.07,6.12,0.06,170.43,0.24,289.18,0.21,16.43,0.21,8.88,0.06,29.37,0.41,0.5758482007632952,2.463045672280088,2.1757971692715916,-0.08772530221696642,2408.3469000000005,2127.4775480688413,-83872.19892755819,other,Helmi
BH_140,193.472915,-67.177276,303.171,-4.307,4.81,0.25,6.86,90.3,0.35,-14.901,0.069,1.258,0.073,0.17,5.55,0.13,-4.01,0.21,-0.36,0.02,222.36,1.33,-10.8,0.91,32.29,1.66,2.01,0.11,10.0,0.57,0.6654462665635356,0.8506138436755997,0.29817467022555433,-0.14632507164874667,831.7236,291.5528732487814,-139898.12753291734,-,-
NGC_4833,194.891342,-70.876503,303.604,-8.015,6.48,0.08,7.13,201.99,0.4,-8.39,0.006,-0.968,0.006,0.19,4.63,0.05,-5.34,0.07,-0.9,0.01,95.21,0.27,-54.95,0.34,-42.21,0.19,0.85,0.03,7.62,0.08,0.8419033528214099,0.2597718557868851,0.21207590247677374,-0.16250723398495634,254.00289999999995,207.36616784772298,-155369.53092784487,in-situ,GS/E
NGC_5024,198.230209,18.168165,332.963,79.764,18.5,0.18,19.0,-63.37,0.25,-0.131,0.005,-1.332,0.005,-0.34,5.25,0.03,-1.49,0.01,18.2,0.18,-57.27,0.41,155.76,0.41,-72.49,0.26,9.28,0.03,22.64,0.17,0.41577994668364093,0.7490422645631378,2.8696981678233056,-0.10010290296782068,732.4077,2805.96854706924,-95706.1461034137,other,Helmi
NGC_5053,199.112885,17.700251,335.699,78.946,17.54,0.23,18.01,42.82,0.25,-0.338,0.007,-1.214,0.007,-0.34,5.11,0.04,-1.38,0.02,17.21,0.23,-52.79,0.58,150.82,0.58,35.3,0.27,10.79,0.05,17.84,0.2,0.2184283164898062,0.7136894572554879,2.924699648437368,-0.10568743807252486,697.8400000000001,2859.7485669945972,-101045.3951841549,other,Helmi
NGC_5139,201.696991,-47.479473,309.102,14.968,5.43,0.05,6.5,232.78,0.21,-3.236,0.011,-6.731,0.011,-0.12,4.87,0.03,-4.07,0.04,1.4,0.01,-95.98,0.25,-21.69,0.24,-86.82,0.27,1.47,0.04,6.95,0.03,0.6132168557217372,-0.5075402411638456,0.4909466755832371,-0.16472413143375228,-496.26890000000003,480.04384064533104,-157489.05698393693,in-situ,GS/E/Seq
NGC_5272,205.548416,28.377277,42.217,78.707,10.18,0.08,12.09,-147.2,0.27,-0.153,0.007,-2.679,0.007,0.14,6.7,0.01,1.34,0.01,9.98,0.08,-65.3,0.32,127.78,0.32,-134.17,0.27,5.28,0.02,15.8,0.1,0.5009528628820716,0.9650598348777393,1.5094097914197153,-0.11818367357066929,943.6280000000002,1475.88915337902,-112992.76638789046,other,Helmi
NGC_5286,206.61171,-51.374249,311.614,10.568,11.1,0.14,8.46,62.38,0.4,0.187,0.007,-0.16,0.007,0.08,0.93,0.09,-8.16,0.11,2.03,0.03,-58.91,0.39,210.15,0.39,8.54,0.37,0.93,0.05,12.78,0.16,0.8644848452051813,-0.2917451107451417,0.5240523540690077,-0.13434200331874258,-285.26609999999994,512.4143155621827,-128441.38397846487,GS/E,GS/E
AM_4,209.089066,-27.165171,320.283,33.51,29.01,0.94,24.58,151.19,2.85,-0.538,0.306,-2.485,0.349,-0.46,-10.43,0.6,-15.46,0.5,16.02,0.52,-126.95,32.78,-68.39,38.19,-162.9,39.49,21.12,5.02,52.5,97.64,0.06309222733782674,-1.2777145003796735,5.3136751807924,-0.08133840011048822,-1249.3393000000003,5195.670260317069,-77765.82470635002,Sag,-
NGC_5466,211.363709,28.534445,42.15,73.592,16.12,0.16,16.48,106.82,0.2,-5.336,0.005,-0.809,0.004,0.17,4.8,0.03,3.06,0.03,15.46,0.16,217.9,0.34,-33.47,0.34,225.06,0.22,6.16,0.26,47.79,1.51,0.7826805256495215,-0.8462227267237595,2.645591354038779,-0.07186337414428046,-827.4300000000001,2586.838647725065,-68706.96434795434,other,Seq
